question_id,scene_id,image_path,split,question_type,difficulty,visibility,seabed_texture,ood_axis,length_scale,range_setting_m,meters_per_pixel,question,choice_a,choice_b,choice_c,choice_d,answer_label
q_bc678f6d561821,scene_0000,images/scene_0000.png,train,exposure_delta_bin,medium,clear,rippled,in_distribution,short_range,38.4,0.075,"Comparing baseline and post-storm panels, how much new exposed cable is visible?",Stable: no measurable new exposure,Minor: under 18 m of new exposure,Moderate: 18 to 45 m of new exposure,Severe: over 45 m of new exposure,B
q_4cc25ad4ec42cc,scene_0000,images/scene_0000.png,train,new_risk_sector,medium,clear,rippled,in_distribution,short_range,38.4,0.075,Which third of the corridor has the largest post-storm increase in exposure risk?,Left third,Middle third,Right third,No meaningful increase,B
q_2e4403cda6a65e,scene_0000,images/scene_0000.png,train,new_scar_count,medium,clear,rippled,in_distribution,short_range,38.4,0.075,How many new anchor-drag scars touch the cable in the post-storm panel?,0,1,2,3 or more,A
q_39c4b0420570f7,scene_0000,images/scene_0000.png,train,new_crossing_threat,medium,clear,rippled,in_distribution,short_range,38.4,0.075,What new crossing threat appears after the storm compared with the baseline panel?,No new crossing threat,Rigid pipeline,Rope or net loop,Boulder or debris pile,A
q_1332f30e493c07,scene_0000,images/scene_0000.png,train,burial_compliance,medium,clear,rippled,in_distribution,short_range,38.4,0.075,"Based on the post-storm panel and the scale metadata, what is the burial-compliance status?",Within specification,Marginal: monitor closely,Non-compliant exposure,Indeterminate: resurvey needed,C
q_79be4937cb657a,scene_0000,images/scene_0000.png,train,intervention_priority,medium,clear,rippled,in_distribution,short_range,38.4,0.075,What is the most appropriate post-storm intervention priority?,No action,Monitor on next survey,Targeted inspection,Immediate reburial work order,D
q_5b45883aa2afdb,scene_0001,images/scene_0001.png,train,exposure_delta_bin,easy,low_gain,flat,in_distribution,long_range,81.9,0.16,"Comparing baseline and post-storm panels, how much new exposed cable is visible?",Stable: no measurable new exposure,Minor: under 18 m of new exposure,Moderate: 18 to 45 m of new exposure,Severe: over 45 m of new exposure,B
q_16d5dcafff44e7,scene_0001,images/scene_0001.png,train,new_risk_sector,easy,low_gain,flat,in_distribution,long_range,81.9,0.16,Which third of the corridor has the largest post-storm increase in exposure risk?,Left third,Middle third,Right third,No meaningful increase,B
q_a4b8194b01ae1f,scene_0001,images/scene_0001.png,train,new_scar_count,easy,low_gain,flat,in_distribution,long_range,81.9,0.16,How many new anchor-drag scars touch the cable in the post-storm panel?,0,1,2,3 or more,A
q_5c4675e6e02469,scene_0001,images/scene_0001.png,train,new_crossing_threat,easy,low_gain,flat,in_distribution,long_range,81.9,0.16,What new crossing threat appears after the storm compared with the baseline panel?,No new crossing threat,Rigid pipeline,Rope or net loop,Boulder or debris pile,D
q_f2f9013311f4c4,scene_0001,images/scene_0001.png,train,burial_compliance,easy,low_gain,flat,in_distribution,long_range,81.9,0.16,"Based on the post-storm panel and the scale metadata, what is the burial-compliance status?",Within specification,Marginal: monitor closely,Non-compliant exposure,Indeterminate: resurvey needed,B
q_0c57d1949d38da,scene_0001,images/scene_0001.png,train,intervention_priority,easy,low_gain,flat,in_distribution,long_range,81.9,0.16,What is the most appropriate post-storm intervention priority?,No action,Monitor on next survey,Targeted inspection,Immediate reburial work order,C
q_c273b0bd2a23cb,scene_0002,images/scene_0002.png,train,exposure_delta_bin,easy,multipath,flat,in_distribution,medium_range,51.2,0.1,"Comparing baseline and post-storm panels, how much new exposed cable is visible?",Stable: no measurable new exposure,Minor: under 18 m of new exposure,Moderate: 18 to 45 m of new exposure,Severe: over 45 m of new exposure,B
q_88ff2428d3acc4,scene_0002,images/scene_0002.png,train,new_risk_sector,easy,multipath,flat,in_distribution,medium_range,51.2,0.1,Which third of the corridor has the largest post-storm increase in exposure risk?,Left third,Middle third,Right third,No meaningful increase,A
q_29e90c099d626a,scene_0002,images/scene_0002.png,train,new_scar_count,easy,multipath,flat,in_distribution,medium_range,51.2,0.1,How many new anchor-drag scars touch the cable in the post-storm panel?,0,1,2,3 or more,B
q_83cb8f3e52c665,scene_0002,images/scene_0002.png,train,new_crossing_threat,easy,multipath,flat,in_distribution,medium_range,51.2,0.1,What new crossing threat appears after the storm compared with the baseline panel?,No new crossing threat,Rigid pipeline,Rope or net loop,Boulder or debris pile,B
q_78d634ec81b4d7,scene_0002,images/scene_0002.png,train,burial_compliance,easy,multipath,flat,in_distribution,medium_range,51.2,0.1,"Based on the post-storm panel and the scale metadata, what is the burial-compliance status?",Within specification,Marginal: monitor closely,Non-compliant exposure,Indeterminate: resurvey needed,B
q_7843eea5719af1,scene_0002,images/scene_0002.png,train,intervention_priority,easy,multipath,flat,in_distribution,medium_range,51.2,0.1,What is the most appropriate post-storm intervention priority?,No action,Monitor on next survey,Targeted inspection,Immediate reburial work order,C
q_ef158e638ccb65,scene_0003,images/scene_0003.png,train,exposure_delta_bin,easy,speckled,vegetated,in_distribution,medium_range,51.2,0.1,"Comparing baseline and post-storm panels, how much new exposed cable is visible?",Stable: no measurable new exposure,Minor: under 18 m of new exposure,Moderate: 18 to 45 m of new exposure,Severe: over 45 m of new exposure,B
q_472dc3315f7104,scene_0003,images/scene_0003.png,train,new_risk_sector,easy,speckled,vegetated,in_distribution,medium_range,51.2,0.1,Which third of the corridor has the largest post-storm increase in exposure risk?,Left third,Middle third,Right third,No meaningful increase,B
q_c7c6c03f4d57be,scene_0003,images/scene_0003.png,train,new_scar_count,easy,speckled,vegetated,in_distribution,medium_range,51.2,0.1,How many new anchor-drag scars touch the cable in the post-storm panel?,0,1,2,3 or more,A
q_6d93f00ac22b13,scene_0003,images/scene_0003.png,train,new_crossing_threat,easy,speckled,vegetated,in_distribution,medium_range,51.2,0.1,What new crossing threat appears after the storm compared with the baseline panel?,No new crossing threat,Rigid pipeline,Rope or net loop,Boulder or debris pile,A
q_b6ccd2dcc9c324,scene_0003,images/scene_0003.png,train,burial_compliance,easy,speckled,vegetated,in_distribution,medium_range,51.2,0.1,"Based on the post-storm panel and the scale metadata, what is the burial-compliance status?",Within specification,Marginal: monitor closely,Non-compliant exposure,Indeterminate: resurvey needed,B
q_eb40ae572dd304,scene_0003,images/scene_0003.png,train,intervention_priority,easy,speckled,vegetated,in_distribution,medium_range,51.2,0.1,What is the most appropriate post-storm intervention priority?,No action,Monitor on next survey,Targeted inspection,Immediate reburial work order,B
q_b66e0b5df896e7,scene_0004,images/scene_0004.png,train,exposure_delta_bin,easy,speckled,vegetated,in_distribution,short_range,38.4,0.075,"Comparing baseline and post-storm panels, how much new exposed cable is visible?",Stable: no measurable new exposure,Minor: under 18 m of new exposure,Moderate: 18 to 45 m of new exposure,Severe: over 45 m of new exposure,B
q_553a376d3a04ac,scene_0004,images/scene_0004.png,train,new_risk_sector,easy,speckled,vegetated,in_distribution,short_range,38.4,0.075,Which third of the corridor has the largest post-storm increase in exposure risk?,Left third,Middle third,Right third,No meaningful increase,C
q_35714c36ec832f,scene_0004,images/scene_0004.png,train,new_scar_count,easy,speckled,vegetated,in_distribution,short_range,38.4,0.075,How many new anchor-drag scars touch the cable in the post-storm panel?,0,1,2,3 or more,A
q_e1f334eeeba5de,scene_0004,images/scene_0004.png,train,new_crossing_threat,easy,speckled,vegetated,in_distribution,short_range,38.4,0.075,What new crossing threat appears after the storm compared with the baseline panel?,No new crossing threat,Rigid pipeline,Rope or net loop,Boulder or debris pile,A
q_7a6555324fd852,scene_0004,images/scene_0004.png,train,burial_compliance,easy,speckled,vegetated,in_distribution,short_range,38.4,0.075,"Based on the post-storm panel and the scale metadata, what is the burial-compliance status?",Within specification,Marginal: monitor closely,Non-compliant exposure,Indeterminate: resurvey needed,B
q_8dcca684f9f182,scene_0004,images/scene_0004.png,train,intervention_priority,easy,speckled,vegetated,in_distribution,short_range,38.4,0.075,What is the most appropriate post-storm intervention priority?,No action,Monitor on next survey,Targeted inspection,Immediate reburial work order,B
q_d66f9fd0cd2b9d,scene_0005,images/scene_0005.png,train,exposure_delta_bin,easy,speckled,rocky,in_distribution,medium_range,64.0,0.125,"Comparing baseline and post-storm panels, how much new exposed cable is visible?",Stable: no measurable new exposure,Minor: under 18 m of new exposure,Moderate: 18 to 45 m of new exposure,Severe: over 45 m of new exposure,B
q_18c9f4fa6b9bb0,scene_0005,images/scene_0005.png,train,new_risk_sector,easy,speckled,rocky,in_distribution,medium_range,64.0,0.125,Which third of the corridor has the largest post-storm increase in exposure risk?,Left third,Middle third,Right third,No meaningful increase,A
q_3814fa1fd666ac,scene_0005,images/scene_0005.png,train,new_scar_count,easy,speckled,rocky,in_distribution,medium_range,64.0,0.125,How many new anchor-drag scars touch the cable in the post-storm panel?,0,1,2,3 or more,B
q_e98406d71eac74,scene_0005,images/scene_0005.png,train,new_crossing_threat,easy,speckled,rocky,in_distribution,medium_range,64.0,0.125,What new crossing threat appears after the storm compared with the baseline panel?,No new crossing threat,Rigid pipeline,Rope or net loop,Boulder or debris pile,A
