question_id,scene_id,image_path,question_type,difficulty,visibility,seabed_texture,range_setting_m,meters_per_pixel,question,choice_a,choice_b,choice_c,choice_d
q_bc678f6d561821,scene_0000,images/scene_0000.png,exposure_delta_bin,medium,clear,rippled,38.4,0.075,"Comparing baseline and post-storm panels, how much new exposed cable is visible?",Stable: no measurable new exposure,Minor: under 18 m of new exposure,Moderate: 18 to 45 m of new exposure,Severe: over 45 m of new exposure
q_4cc25ad4ec42cc,scene_0000,images/scene_0000.png,new_risk_sector,medium,clear,rippled,38.4,0.075,Which third of the corridor has the largest post-storm increase in exposure risk?,Left third,Middle third,Right third,No meaningful increase
q_2e4403cda6a65e,scene_0000,images/scene_0000.png,new_scar_count,medium,clear,rippled,38.4,0.075,How many new anchor-drag scars touch the cable in the post-storm panel?,0,1,2,3 or more
q_39c4b0420570f7,scene_0000,images/scene_0000.png,new_crossing_threat,medium,clear,rippled,38.4,0.075,What new crossing threat appears after the storm compared with the baseline panel?,No new crossing threat,Rigid pipeline,Rope or net loop,Boulder or debris pile
q_1332f30e493c07,scene_0000,images/scene_0000.png,burial_compliance,medium,clear,rippled,38.4,0.075,"Based on the post-storm panel and the scale metadata, what is the burial-compliance status?",Within specification,Marginal: monitor closely,Non-compliant exposure,Indeterminate: resurvey needed
q_79be4937cb657a,scene_0000,images/scene_0000.png,intervention_priority,medium,clear,rippled,38.4,0.075,What is the most appropriate post-storm intervention priority?,No action,Monitor on next survey,Targeted inspection,Immediate reburial work order
q_5b45883aa2afdb,scene_0001,images/scene_0001.png,exposure_delta_bin,easy,low_gain,flat,81.9,0.16,"Comparing baseline and post-storm panels, how much new exposed cable is visible?",Stable: no measurable new exposure,Minor: under 18 m of new exposure,Moderate: 18 to 45 m of new exposure,Severe: over 45 m of new exposure
q_16d5dcafff44e7,scene_0001,images/scene_0001.png,new_risk_sector,easy,low_gain,flat,81.9,0.16,Which third of the corridor has the largest post-storm increase in exposure risk?,Left third,Middle third,Right third,No meaningful increase
q_a4b8194b01ae1f,scene_0001,images/scene_0001.png,new_scar_count,easy,low_gain,flat,81.9,0.16,How many new anchor-drag scars touch the cable in the post-storm panel?,0,1,2,3 or more
q_5c4675e6e02469,scene_0001,images/scene_0001.png,new_crossing_threat,easy,low_gain,flat,81.9,0.16,What new crossing threat appears after the storm compared with the baseline panel?,No new crossing threat,Rigid pipeline,Rope or net loop,Boulder or debris pile
q_f2f9013311f4c4,scene_0001,images/scene_0001.png,burial_compliance,easy,low_gain,flat,81.9,0.16,"Based on the post-storm panel and the scale metadata, what is the burial-compliance status?",Within specification,Marginal: monitor closely,Non-compliant exposure,Indeterminate: resurvey needed
q_0c57d1949d38da,scene_0001,images/scene_0001.png,intervention_priority,easy,low_gain,flat,81.9,0.16,What is the most appropriate post-storm intervention priority?,No action,Monitor on next survey,Targeted inspection,Immediate reburial work order
